source_type,article_id,year,location,author_individual,author_position,title,abstract,doi,url,author_year_ID,authors_full
JOUR,90074269,2013, Europe," Giani, Luise",author_03,Changes in soil organic matter quality during sea-influenced marsh soil development at the North Sea coast,"Salt marsh soils sequester large amounts of organic matter (OM). The question we address in this study is how OM quality changes during initial soil development in salt marshes. To answer this question, we studied soils at six sites at the German North Sea coast. At each site, three zones - low, mid, and high marsh - that differ in inundation frequency were analyzed. We found that organic carbon (OC) and nitrogen (N) contents increased significantly with decreasing inundation frequency at all sites, while inorganic carbon contents decreased. delta C-13 signatures of the OC strongly decreased at all sites from low to high marsh (from -153 to -21.5 parts per thousand), indicating a decrease in the proportion of marine-derived OC. The decrease in sea-derived OC was associated with an increase in C/N ratio, which can be attributed to the difference in the C/N ratios between sea- and land-derived OM inputs. Increases in OC and N contents in the bulk soils during soil development resulted from increases of the OC content in the coarse size fraction (>200 mu m), and were associated with increases in the content of hot water extractable C and N (C-hwe and N-hwe). The proportion of OM found in the fraction <2 mu m decreased with soil development. The delta C-13 signature of the OC sequestered in this fraction decreased from -20.6 to -24.0 parts per thousand. The smaller decrease in the delta C-13 signatures of the OC in the fraction <2 mu m compared to the delta C-13 signatures of the OC in the bulk soils indicates that the OC is relatively rigidly bound to the minerals in this fraction. The low delta C-13 signatures of OC stored in the fraction <2 mu m indicates that OM in this fraction is mainly of terrestrial origin. In conclusion, this study shows that OM contents and the proportion of relatively labile OM increases during initial marsh soil development due to inputs of terrestrial OC. (C) 2013 Elsevier B.V. All rights reserved.",10.1016/j.catena.2013.02.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876434944&doi=10.1016%2fj.catena.2013.02.006&partnerID=40&md5=7ad30fb96186bf1ac2b5f2b8defb2295,Spohn_2013_90074269,"Spohn, Marie; Babka, Beata; Giani, Luise"
JOUR,90074441,2021, Europe," Giani, Luise",author_03,Young soils of a temperate barrier island under the impact of formation and resetting by tides and wind,"The island Spiekeroog (Germany) at the southern North Sea coast exhibits an island tail (Ostplate) of which large parts formed after 1860 by gradual eastward deposition of marine sediments. This study aimed to (i) provide a first overview of soils on the Ostplate, (ii) verify whether soil formation stages in different landscape elements (dune chain, dune slacks, saltmarsh, pioneer zone) are linked to the island's gradual development and (iii) to assess the impact of tides and winds on soil formation. Standard physicochemical properties of dune -and dune slack topsoils and 19 pedons (i.a. pH, total organic carbon (TOC), total inorganic carbon (TIC), total nitrogen (TN), and mean weight diameter (MWD) of water stable aggregates) were analyzed. Soils of the dune slacks, the saltmarsh and the pioneer zone classified as Gleysols which showed no trend towards differences along the Ostplate. The dune chain exhibited Protic Arenosols that were initially acidified in lee positions (min. pH = 5.1). Carbon (C) and nitrogen (N) isotopes (delta C-13, delta N-15) signatures of saltmarsh sediments were used as a proxy for the tidal influence on soil formation. In addition, sulfur (S) isotope (delta S-34) signatures revealed insights on sulfur sources in the saltmarsh. The delta C-13 signatures of organic matter (OM) decreased and TOC/TN -and TOC/total sulfur (TS) ratios increased with increasing elevation and decreasing flooding frequency. At higher flooding frequency, delta N-15 resembled the dominant input of OM from the southern North Sea, at a lower interaction level, mixing of a wider range of sources was indicated. S isotopes indicated dissolved sulfate and reduced species as sulfur sources. It was concluded that an ongoing impact of wind-induced sand movement at the dunes, and flooding-induced sediment movement in the saltmarsh and the pioneer zone, repealed any potential disparities in soil formation stages, which might have existed along the Ostplate.",10.1016/j.catena.2021.105275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103244945&doi=10.1016%2fj.catena.2021.105275&partnerID=40&md5=b9dd6a3562f60f8b6afc9b4eeb48c8e5,Pollmann_2021_90074441,"Pollmann, Thomas; Boettcher, Michael E.; Giani, Luise"
JOUR,90074478,2018, Europe," Giani, Luise",author_03,LANDSCAPES AND SOILS OF NORTH SEA BARRIER ISLANDS: A COMPARATIVE ANALYSIS OF THE OLD WEST AND YOUNG EAST OF SPIEKEROOG ISLAND (GERMANY),"To get further insights into the development of landscape elements and soils of North Sea barrier islands; an old part in the West (formed between approx. 1650-1860) and a young part, largely unaffected by anthropogenic influences in the East (formed approx. 1960), of the island Spiekeroog were comparatively analyzed. Between the two parts beach soils (World Reference Base of Soil Resources (WRB), IWG WRB (2015): Eutric Huvic Tiadalic and Eutric Endosalic Arenosols; German Soil Classification System (GSCS), AD-Hoc-AG BODEN (2005): Nassstrand and Strand) did not differ, except for microbial mats, which were found only in the East. In the West, a dune complex comprising white, gray and brown dunes holds a soil chronosequence from unaltered sands (WRB: Eutric Protic Arenosol; GSCS: Lockersyrosem) to braunified and podzolized soils (With: Dystric Brunk Arenosol; GSCS: Braunerde). However, in the East, only a single white dune chain, with adjacent shallow dune mounds to the south, had formed. In both parts, dune slacks evinced remarkably rapid peat formation (WRB: Dystric Histic and Eutric Histic Gleysols; GSCS: Niedermoorgleye). Here, iron content of groundwaters determined the formation of redoximorphic features. Soils of the salt marshes (WRB: Eutric Fluvic and Eutric Gleysols; GSCS: Rohmarschen) showed the highest contents of soil organic carbon (SOC) in the West, where the thickest fine sediment layers were also found. Revealed shortcomings of the German soil classification system concerning the classification of 'Strand' and 'Rohmarsch' soils are discussed. It is suggested to exclude the obligatory carbonate (CaCO3) content in the definition of the Strand soil and to introduce an additional horizon prefix to indicate carbonate contents between > 0 and < 2%, in order to classify Rohmarsch soils, with primary carbonate contents < 2%. Finally, an outlook on the future landscape -and soil development is provided, which is expected to be most profound in the young East.",10.3112/erdkunde.2018.04.02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062091495&doi=10.3112%2ferdkunde.2018.04.02&partnerID=40&md5=2ed65c4c591d9bc0b58e62c363df71bc,Pollmann_2018_90074478,"Pollmann, Thomas; Junge, Birte; Giani, Luise"
JOUR,90074641,2012, Europe," Giani, Luise",author_02,"Carbohydrates, carbon and nitrogen in soils of a marine and a brackish marsh as influenced by inundation frequency","Marshes on the southern North Sea coast store large amounts of organic matter (OM). The objective of this study was to investigate the effect of inundation frequency on carbohydrates, organic carbon (OC), inorganic carbon (IC) and nitrogen (N) in a marine and a brackish marsh. To gain insights into the origin of OC in the marshes we used monosaccharides as biomarkers. We studied soils in a marine and a brackish marsh along a gradient of inundation frequency. It was found that TOC and N stocks in soils of a marine and a brackish marsh increased with decreasing inundation frequency. Concentrations of carbohydrates were significantly higher in the topsoils of the marine marsh than of the brackish marsh. In the upper mid-zone of the marine marsh, which is inundated by the sea approximately 20-times a year, carbohydrate stocks were up to 2.4-times higher than in the upper mid-zone of the brackish marsh with the same inundation frequency. Differences in carbohydrate concentrations can be attributed to differences in the abundance of fine and medium roots in these soils. In the daily-inundated soils of both marshes we observed high hexose-to-pentose ratios, indicating a microbial origin of the carbohydrates, while the hexose-to-pentose ratios were significantly lower in the middle and upper zone of the two marshes, indicating a high proportion of plant-derived carbohydrates. This study shows that monosaccharides are useful biomarkers to explore the origin of OM in coastal soils. (c) 2012 Elsevier Ltd. All rights reserved.",10.1016/j.ecss.2012.05.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863007312&doi=10.1016%2fj.ecss.2012.05.006&partnerID=40&md5=04d3708488ff47a83d8096360a7e956f,Spohn_2012_90074641,"Spohn, Marie; Giani, Luise"
JOUR,90075447,2013, Europe," Giani, Luise",author_03,Chronosequential alterations in soil organic matter during initial development of coastal salt marsh soils at the southern North Sea,"This study was conducted in the coastal zone located in Caciliengroden, Jadebusen Bay (North Germany). The aim was to examine the changes in organic matter properties along a salt marsh soil chronosequence. Three soil profiles were located in low, middle-high and high marsh zones, between the mud flat tidal area and the dike. We propose a pattern of spatial changes in properties of salt marsh soils along the studied chronosequence.The results lead to the conclusion that some organic matter properties (C: N, humic to fulvic acid ratios and aromaticity of the humic acids) are good indicators for the extent of development of the studied soils. The lowest values of those indices, typical for aquatic sediments, were related to the initial soils (low marsh) while the highest values were recorded for semi-mature soils (high marsh).",10.1127/0372-8854/2013/0112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891814826&doi=10.1127%2f0372-8854%2f2013%2f0112&partnerID=40&md5=43a806ef4413afcb4d8ef93281e54891,Hulisz_2013_90075447,"Hulisz, Piotr; Gonet, Slawomir S.; Giani, Luise; Markiewicz, Maciej"
JOUR,90075260,1999, Europe," Gomez-Parra, A.",author_03,Hydrochemistry characterisation of protected marine ecosystems in Cadiz,"Wetlands have a great natural wealth due to their borderline nature, representing the point where lithosphere, hydrosphere and atmosphere converge. The wetlands of Cadiz, at the southern extreme of Europe, also play an important role as a stopover area for migratory birds. This paper presents the results of a sampling project conducted during the spring of 1997 in the Guadiaro and Palmones Rivers, the Barbate estuary, Sancti Petri sound, and the San Pedro River salt marsh. For each system, three sampling stations were established along a salinity gradient, and these variables were measured: salinity, pH and chloride, sulphate, sodium, potassium, calcium, magnesium, nitrite, nitrate, silicate ammonia, organic carbon, dissolved oxygen, chlorophyll and phaeopigment concentrations. Several behaviours were found for the various systems: the Guadiaro and Palmones Rivers fit a fluvial estuary pattern, with low ionic concentrations and poor remineralisation. The San Pedro River and Sancti Petri sound are tidal systems with a typical seawater composition and high benthic regeneration. The Barbate estuary represents an intermediate scenario between the preceding ones, with a pronounced salinity gradient along its course.",NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033304418&partnerID=40&md5=34f50a08087581430d62026e1ef68ddc,Martinez-Velasco_1999_90075260,"Martinez-Velasco, C.; Forja, J. M.; Gomez-Parra, A."
JOUR,90075508,2003, Europe," Gomez-Parra, A.",author_03,"Speciation of heavy metals in recent sediments of three coastal ecosystems in the Gulf of Cadiz, southwest Iberian Peninsula","A five-step sequential extraction technique was used to determine the partitioning of Cr, Mn, Fe, CLI, Zn, Cd. and Pb among the operative sedimentary phases (exchangeable ions, carbonates, manganese and iron oxides, sulfides and organic matter, and residual minerals) in coastal sediment from three locations in the southwest Iberian Peninsula. Two sites are located close to industrial areas. the salt marshes of the Odiel River and Bay of Cadiz, and one in a nonindustrial area, the Barbate River salt marshes. The Odiel River salt marshes also receive the drainage from mining activities in the Huelva region. In the sediments from the Bay of Cadiz and Barbate River salt marshes, Cr, Cu, Fe, and Zn were extracted from the residual fraction at percentages higher than 60%. In the sediments from the Odiel River salt marshes, concentrations of all the metals, except Cu, Zn, and Cd, exceeded 60% in the residual fraction as well. In the sediments from the Bay of Cadiz and Barbate River salt marshes, the main bioavailable metals were Mn and Cd: in those from the Odiel River salt marshes, the main bioavailable metals were Zn and Cd, respectively. The environmental risk was determined by employing the environmental risk factor (ERF), defined as ERF = (CSQV - Ci/CSQV), where Ci is the heavy metal concentration in the first four fractions and CSQV is concentration sediment quality value (the highest concentration with no associated biological effect). Our results showed that the sediments from the Cadiz Bay and Barbate River salt marshes do not constitute any environmental risk under the Current natural conditions. In contrast, in the Odiel River salt marshes. Cu. Zn. and Pb yielded ERFs of less than zero at several sampling stations and, consequently, pose a potential threat for the organisms in the area. This is a consequence of the high levels of metals in the area derived from the mining activity (pyrite) and industrial activities and the association of these heavy metals with more labile fractions of the sediments.",10.1897/02-448,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344874608&doi=10.1897%2f02-448&partnerID=40&md5=f1bb8bd766136bb37490fca2ef4d82a5,Sáenz_2003_90075508,"Sáenz, V.; Blasco, J.; Gomez-Parra, A."
JOUR,90075181,2014, Europe," Gonzalez-Alcaraz, M. N.",author_04,Role of rhizosphere and soil properties for the phytomanagement of a salt marsh polluted by mining wastes,"The goal of this study was to evaluate the soil properties and their modifications within the rhizosphere of spontaneous vegetation as key factors to assess the phytomanagement of a salt marsh polluted by mining wastes. A field survey was performed based on a plot sampling design. The results provided by the analyses of rhizospheric soil (pH, electrical conductivity (EC), organic carbon, total nitrogen, etc.) and metal(loid)s' phytoavailability (assessed by EDTA) were discussed and related to plant metal uptake. The averages of pH and EC values of the bulk soil and rhizospheric samples were in the range of neutral to slightly alkaline (pH 7-8) to saline (> 2 dS m(-1)), respectively. Heavy metal and As concentrations (e.g. similar to 600 mg kg(-1) As, similar to 50 mg kg(-1) Cd, similar to 11,000 mg kg(-1) Pb) were higher in the rhizosphere for both total and EDTA-extractable fraction. Phragmites australis uptaked the highest concentrations in roots (e.g. similar to 66 mg kg(-1) As, similar to 1,770 mg kg(-1) Zn) but not in shoots, for which most of plant species showed low values for Zn (< 300 mg kg(-1)) but not for Cd (> 0.5 mg kg(-1)) or Pb (similar to 20-40 mg kg(-1)). Vegetation distribution in the studied salt marsh looked to be more affected by salinity than by metal pollution. The free availability of water for plants and the incoming nutrient-enriched effluents which flow through the salt marsh may have hindered the metal(loid)s' phytotoxicity. The phytomanagement of these polluted areas employing the spontaneous vegetation is a good option in order to improve the ecological indicators and to prevent the transport of pollutants to nearby areas.",10.1007/s13762-013-0323-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902376727&doi=10.1007%2fs13762-013-0323-z&partnerID=40&md5=f3c01ef70cd73b9c741250e6886c45f4,Conesa_2014_90075181,"Conesa, H. M.; Maria-Cervantes, A.; Alvarez-Rogel, J.; Gonzalez-Alcaraz, M. N."
JOUR,90075345,2011, Europe," Gonzalez-Alcaraz, M. N.",author_04,Influence of soil properties on trace element availability and plant accumulation in a Mediterranean salt marsh polluted by mining wastes: Implications for phytomanagement,"The aims of this study were to determine the factors which control metal and As phytoavailability in the different microenvironments (Sand Dunes, Salt Flat, Dry River and Shrubs) present at a Mediterranean salt marsh polluted by mining wastes. We performed a field study following a plot sampling survey. The analyses of soil parameters (pH, electrical conductivity (EC), organic carbon contents, etc.), total metal and As concentrations and their phytoavailability assessed with EDTA were related to each microenvironment and the corresponding plant species uptake. The averages of pH and EC were slightly alkaline (pH approximate to 7.5) and saline approximate to 2.2 to 17.1 dS m(-1)) respectively. The soil samples from the Salt Flat subzone showed the highest metal concentrations (e.g. 51 mg kg(-1) Cd, 11,600 mg kg(-1) Pb) while for As, the highest concentrations occurred in the Dry River (380 mg kg(-1) As). The total metal and EDTA-extractable concentrations occurred as it follows: Salt Flat > Dry River > Degraded Dunes > Shrubs. In relation to plant metal and As accumulation, the highest root concentrations were obtained in the species from the Salt Flat subzone: similar to 17 mg kg(-1) As, similar to 620 mg kg(-1) Pb, for both, Juncus maritimus and Arthrocnemum macrostachyum. However the highest metal and As shoot concentrations occurred in species from the Sand Dunes: similar to 23 mg kg(-1) As similar to 270 mg kg(-1) Pb for Dittrichia viscosa: similar to 23 mg kg(-1) As, similar to 390 mg kg(-1) Zn for Crucianella maritima. The occurrence of edaphic gradients including salinity and texture determined the vegetation distribution. However, it cannot be concluded that there was a disturbance due to metal(loid)s soil concentrations in terms of vegetation composition except in the Degraded Dunes and Dry River. The higher EDTA-extractable concentrations were coincidental with the most saline soils but this did not result in higher metal(loid)s plant accumulation. (C) 2011 Elsevier B.V. All rights reserved.",10.1016/j.scitotenv.2011.07.049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052063045&doi=10.1016%2fj.scitotenv.2011.07.049&partnerID=40&md5=b9827c6e0d38a93bd12b8ae3690f595a,Conesa_2011_90075345,"Conesa, H. M.; Maria-Cervantes, A.; Alvarez-Rogel, J.; Gonzalez-Alcaraz, M. N."
JOUR,90074403,2020, Europe," Gonzalez-Perez, Jose A.",author_05,Discerning natural and anthropogenic organic matter inputs to salt marsh sediments of Ria Formosa lagoon (South Portugal),"Sedimentary organic matter (OM) origin and molecular composition provide useful information to understand carbon cycling in coastal wetlands. Core sediments from threors' Contributionse transects along Ria Formosa lagoon intertidal zone were analysed using analytical pyrolysis (Py-GC/MS) to determine composition, distribution and origin of sedimentary OM. The distribution of alkyl compounds (alkanes, alkanoic acids and alkan-2-ones), polycyclic aromatic hydrocarbons (PAHs), lignin-derived methoxyphenols, linear alkylbenzenes (LABs), steranes and hopanes indicated OM inputs to the intertidal environment from natural-autochthonous and allochthonous-as well as anthropogenic. Several n-alkane geochemical indices used to assess the distribution of main OM sources (terrestrial and marine) in the sediments indicate that algal and aquatic macrophyte derived OM inputs dominated over terrigenous plant sources. The lignin-derived methoxyphenol assemblage, dominated by vinylguaiacol and vinylsyringol derivatives in all sediments, points to large OM contribution from higher plants. The spatial distributions of PAHs (polyaromatic hydrocarbons) showed that most pollution sources were mixed sources including both pyrogenic and petrogenic. Low carbon preference indexes (CPI > 1) for n-alkanes, the presence of UCM (unresolved complex mixture) and the distribution of hopanes (C-29-C-36) and steranes (C-27-C-29) suggested localized petroleum-derived hydrocarbon inputs to the core sediments. Series of LABs were found in most sediment samples also pointing to domestic sewage anthropogenic contributions to the sediment OM.",10.1007/s11356-020-09235-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084820069&doi=10.1007%2fs11356-020-09235-9&partnerID=40&md5=3ad4c3d17e4027edd8e67e0a85039010,Kumar_2020_90074403,"Kumar, Mukesh; Boski, Tomasz; Gonzalez-Vila, Francisco J.; de la Rosa, Jose Ma; Gonzalez-Perez, Jose A."
JOUR,90075036,2020, Europe," Gonzalez-Perez, Jose A.",author_05,Characteristics of organic matter sources from Guadiana Estuary salt marsh sediments (SW Iberian Peninsula),"Estuaries are dynamic interfaces between land, rivers and the ocean that play major roles in the global carbon cycle. These coastal wetlands store huge amounts of organic carbon (OC), commonly known as ""blue carbon"" and excellent places to study C cycling. The Guadiana river estuary is among the most important tidal salt marshes in the South - Iberian coastal margin. Here, a detailed organic geochemical study is described that includes the identification of sedimentary OM composition at a molecular and isotopic level. Total organic carbon content (TOC) of core sediments ranged from 0.39 to 2.23% and stable carbon isotope composition (delta C-13) also showed a wide range between -22.4 and -27.0 parts per thousand. A(13)C depletion trend observed from the surface to bottom in the core sediments profiles, reflects loss of labile biogenic C-13 enriched compounds i.e. polysaccharides and a selective preservation of more depleted compounds with depth i.e. lignin and lipids in the core sediments. Series of nalkanes were found in the range from C-10 to C-31. Carbon preference index ratio (CPI) calculated for long-chain n-alkanes (C-24-C-31) that ranged between 1.17 and 1.94 reflecting diverse OM inputs to the sediments. A study of the lignin-derived phenolic composition pointed to a recalcitrant OM derived from both gymnosperm and angiosperm plants. Moreover, high abundance of vinyl phenol and vinyl guaiacol points to a dominant contribution of lignins from grasses and aquatic macrophytes to the sediments. A well-resolved series of long-chain linear alkyl benzenes (LABs from C-4 to C-22) were recorded in all core sediment samples indicating direct discharge of untreated domestic and/or industrial effluents to the estuary. Polycyclic aromatic hydrocarbons (PAHs) with more than 3 rings reflects the pyrogenic origin of a portion of the sedimentary OM. This study highlights the importance of different OM sources to the lower Guadiana estuarine sediments and contributes to a better knowledge about its origin, dynamics and fate.",10.1016/j.csr.2020.104076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079641361&doi=10.1016%2fj.csr.2020.104076&partnerID=40&md5=07cb3b10292d1474f45d93bc64dc0f6c,Kumar_2020_90075036,"Kumar, Mukesh; Boski, Tomasz; Gonzalez-Vila, Francisco J.; Jimenez-Morillo, Nicasio T.; Gonzalez-Perez, Jose A."
JOUR,90074328,2009, Europe," Gonzalez-Vila, F. J.",author_06,Effects of reclamation and regeneration processes on organic matter from estuarine soils and sediments,"Three adjacent areas in the Urdaibai Estuary (NW Spain) comprising a reclaimed salt marsh, a natural salt marsh and a regenerated salt marsh were sampled in order to study edaphic processes and changes in organic matter (OM) composition related to reclamation and regeneration of soils and sediments in estuarine environments. For this, a general analytical description of the soil and sediment profiles was carried out and the OM was characterized using solid state C-13 nuclear magnetic resonance (NMR) spectroscopy and analytical pyrolysis-gas chromatography/mass spectrometry (Py-GC/MS). The reclaimed salt marsh displayed very different characteristics from the natural salt marsh throughout the whole profile, indicating an important degree of change in soil quality and, particularly, in OM composition caused by the reclamation. At this reclaimed site, characterized by oxic conditions and a lack of tidal influence, transformation of the former salt marsh to grassland resulted in input of OM richer in carbohydrates and with a lower contribution of aromatic compounds than the OM in the salt marsh soils. On the other hand, the edaphic characteristics of the regenerated marsh were similar to those of the natural marsh and the vegetation cover was the same. However, the natural marsh accumulated twice the amount of organic carbon at the surface as the regenerated marsh. Furthermore, the natural marsh contained more aromatic material, as detected with NMR and the Py-GC/MS results indicated a greater presence of microbial material. These differences indicate that the regenerated marsh has not completely recovered its natural characteristics, despite the long period (more than 40 y) since the beginning of the regeneration process. We propose the composition of soil OM as a suitable long term indicator of reclamation and regeneration processes in the salt marsh environments. (C) 2009 Elsevier Ltd. All rights reserved.",10.1016/j.orggeochem.2009.06.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68749102227&doi=10.1016%2fj.orggeochem.2009.06.005&partnerID=40&md5=d43717b97c06c463c116febc55633ab8,Santin_2009_90074328,"Santin, C.; de la Rosa, J. M.; Knicker, H.; Otero, X. L.; Alvarez, M. A.; Gonzalez-Vila, F. J."
JOUR,90075133,2012, Europe," Gonzalez-Vila, F. J.",author_04,Organic matter sources for tidal marsh sediment over the past two millennia in the Minho River estuary (NW Iberian Peninsula),"Environmental changes during the last 2 millennia in the Minho River tidal marsh (NW Portugal-Spain border) were reconstructed. Changes in the sources of organic matter (OM) delivered to the marsh were evaluated from elemental, isotopic and molecular composition using a 1 m sediment core. Carbon isotopic composition (delta C-13) and organic carbon to total nitrogen ratio (C-org/N) provided valuable information concerning the origin of the OM. These parameters indicated a major input from land plants, reaching a maximum at 1100-1200 and 1750-1850 AD. These periods match with major flood events in the NW of the Iberian Peninsula, as reported by several authors. A significant reduction in the terrestrial signature occurred at 6-4 cm (ca. 1960-1985 AD), which is contemporaneous with the construction of several major dams on the Minho River. The distribution of selected lipid biomarkers, including n-alkanes, n-fatty acids and n-alkan-2-ones and specific parameters derived from the molecular distributions, were useful for refining bulk geochemical results. Long chain n-alkanes with an odd number of carbons are indicators of soil-and vascular plant-derived terrestrial OM and were dominant throughout the core. In addition, a greater contribution of plankton-derived lipids was observed in the sections corresponding to ca. 19601985 AD (6-4 cm) and ca. 100-200 AD (96-94 cm). Although different degradation rates for individual compounds might have partly affected biomarker assemblages, the variations could be attributed to a sharp decrease in the freshwater contribution to the Minho River estuary (dam construction) and a possible marine highstand, respectively. In addition, several parameters suggested changes in land use (including deforestation and farming) and probably the effects of mining exploitation during the Roman occupation of the area. (C) 2012 Elsevier Ltd. All rights reserved.",10.1016/j.orggeochem.2012.06.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869215961&doi=10.1016%2fj.orggeochem.2012.06.014&partnerID=40&md5=b721065296662a74f5c48f89aea35fe6,De la Rosa_2012_90075133,"De la Rosa, J. M.; Araujo, M. F.; Gonzalez-Perez, J. A.; Gonzalez-Vila, F. J.; Soares, A. M.; Martins, J. M.; Leorri, E.; Corbett, R.; Fatela, F."
JOUR,90074403,2020, Europe," Gonzalez-Vila, Francisco J.",author_03,Discerning natural and anthropogenic organic matter inputs to salt marsh sediments of Ria Formosa lagoon (South Portugal),"Sedimentary organic matter (OM) origin and molecular composition provide useful information to understand carbon cycling in coastal wetlands. Core sediments from threors' Contributionse transects along Ria Formosa lagoon intertidal zone were analysed using analytical pyrolysis (Py-GC/MS) to determine composition, distribution and origin of sedimentary OM. The distribution of alkyl compounds (alkanes, alkanoic acids and alkan-2-ones), polycyclic aromatic hydrocarbons (PAHs), lignin-derived methoxyphenols, linear alkylbenzenes (LABs), steranes and hopanes indicated OM inputs to the intertidal environment from natural-autochthonous and allochthonous-as well as anthropogenic. Several n-alkane geochemical indices used to assess the distribution of main OM sources (terrestrial and marine) in the sediments indicate that algal and aquatic macrophyte derived OM inputs dominated over terrigenous plant sources. The lignin-derived methoxyphenol assemblage, dominated by vinylguaiacol and vinylsyringol derivatives in all sediments, points to large OM contribution from higher plants. The spatial distributions of PAHs (polyaromatic hydrocarbons) showed that most pollution sources were mixed sources including both pyrogenic and petrogenic. Low carbon preference indexes (CPI > 1) for n-alkanes, the presence of UCM (unresolved complex mixture) and the distribution of hopanes (C-29-C-36) and steranes (C-27-C-29) suggested localized petroleum-derived hydrocarbon inputs to the core sediments. Series of LABs were found in most sediment samples also pointing to domestic sewage anthropogenic contributions to the sediment OM.",10.1007/s11356-020-09235-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084820069&doi=10.1007%2fs11356-020-09235-9&partnerID=40&md5=3ad4c3d17e4027edd8e67e0a85039010,Kumar_2020_90074403,"Kumar, Mukesh; Boski, Tomasz; Gonzalez-Vila, Francisco J.; de la Rosa, Jose Ma; Gonzalez-Perez, Jose A."
JOUR,90075036,2020, Europe," Gonzalez-Vila, Francisco J.",author_03,Characteristics of organic matter sources from Guadiana Estuary salt marsh sediments (SW Iberian Peninsula),"Estuaries are dynamic interfaces between land, rivers and the ocean that play major roles in the global carbon cycle. These coastal wetlands store huge amounts of organic carbon (OC), commonly known as ""blue carbon"" and excellent places to study C cycling. The Guadiana river estuary is among the most important tidal salt marshes in the South - Iberian coastal margin. Here, a detailed organic geochemical study is described that includes the identification of sedimentary OM composition at a molecular and isotopic level. Total organic carbon content (TOC) of core sediments ranged from 0.39 to 2.23% and stable carbon isotope composition (delta C-13) also showed a wide range between -22.4 and -27.0 parts per thousand. A(13)C depletion trend observed from the surface to bottom in the core sediments profiles, reflects loss of labile biogenic C-13 enriched compounds i.e. polysaccharides and a selective preservation of more depleted compounds with depth i.e. lignin and lipids in the core sediments. Series of nalkanes were found in the range from C-10 to C-31. Carbon preference index ratio (CPI) calculated for long-chain n-alkanes (C-24-C-31) that ranged between 1.17 and 1.94 reflecting diverse OM inputs to the sediments. A study of the lignin-derived phenolic composition pointed to a recalcitrant OM derived from both gymnosperm and angiosperm plants. Moreover, high abundance of vinyl phenol and vinyl guaiacol points to a dominant contribution of lignins from grasses and aquatic macrophytes to the sediments. A well-resolved series of long-chain linear alkyl benzenes (LABs from C-4 to C-22) were recorded in all core sediment samples indicating direct discharge of untreated domestic and/or industrial effluents to the estuary. Polycyclic aromatic hydrocarbons (PAHs) with more than 3 rings reflects the pyrogenic origin of a portion of the sedimentary OM. This study highlights the importance of different OM sources to the lower Guadiana estuarine sediments and contributes to a better knowledge about its origin, dynamics and fate.",10.1016/j.csr.2020.104076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079641361&doi=10.1016%2fj.csr.2020.104076&partnerID=40&md5=07cb3b10292d1474f45d93bc64dc0f6c,Kumar_2020_90075036,"Kumar, Mukesh; Boski, Tomasz; Gonzalez-Vila, Francisco J.; Jimenez-Morillo, Nicasio T.; Gonzalez-Perez, Jose A."
JOUR,90074603,2005,NA," Gonzalez, S",author_04,"Variability of organic delta C-13 and C/N in the Mersey Estuary, UK and its implications for sea-level reconstruction studies","Microfossil analysis (e.g. diatoms, foraminifera and pollen) represents the cornerstone of Holocene relative sea-level (RSL) reconstruction because their distribution in the contemporary inter-tidal zone is principally controlled by ground elevation within the tidal frame. A combination of poor microfossil preservation and a limited range in the sediment record may severely restrict the accuracy of resulting RSL reconstructions. Organic delta C-13 and C/N analysis of inter-tidal sediments have shown some potential as coastal palaeoenvironmental proxies. Here we assess their viability for reconstructing RSL change by examining patterns of organic delta C-13 and C/N values in a modern estuarine environment. delta C-13 and C/N analysis of bulk organic inter-tidal sediments and vegetation, as well as suspended and bedload organic sediments of the Mersey Estuary, U.K., demonstrate that the two main sources of organic carbon to surface saltmarsh sediments (terrestrial vegetation and tidal-derived particulate organic matter) have distinctive delta C-13 and C/N signatures. The resulting relationship between ground elevation within the tidal frame and surface sediment delta C-13 and C/N is unaffected by decompositional changes. The potential of this technique for RSL reconstruction is demonstrated by the analysis of part of an early Holocene sediment core from the Mersey Estuary. Organic delta 13C and C/N analysis is less time consuming than microfossil analysis and is likely to provide continuous records of RSL change. (c) 2005 Elsevier Ltd. All rights reserved.",10.1016/j.ecss.2005.04.003,NA,Wilson_2005_90074603,"Wilson, GP; Lamb, AL; Leng, MJ; Gonzalez, S; Huddart, D"
