"","Source","Site_name","Original_source","State","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","SOC_stock_MgC_ha"
"178","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.698817,146.46855,"direct from dataset","1","Australia","NA",0,1,30.76
"179","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.698933,146.468217,"direct from dataset","1","Australia","NA",0,1,30.13
"180","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.698917,146.46785,"direct from dataset","1","Australia","NA",0,1,13.93
"181","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.6752,146.691683,"direct from dataset","1","Australia","NA",0,1,72.52
"182","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.6747,146.691183,"direct from dataset","1","Australia","NA",0,1,53.12
"183","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.674517,146.690817,"direct from dataset","1","Australia","NA",0,1,58.74
"184","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.64635,146.780917,"direct from dataset","1","Australia","NA",0,1,38
"185","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.646167,146.78215,"direct from dataset","1","Australia","NA",0,1,45.61
"186","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.646283,146.781483,"direct from dataset","1","Australia","NA",0,1,24.63
"187","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.51,145.345117,"direct from dataset","1","Australia","NA",0,1,100.92
"188","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.509833,145.344717,"direct from dataset","1","Australia","NA",0,1,132.55
"189","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.509917,145.3449,"direct from dataset","1","Australia","NA",0,1,114.85
"190","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.45945,145.2882,"direct from dataset","1","Australia","NA",0,1,264.17
"191","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.457183,145.290383,"direct from dataset","1","Australia","NA",0,1,234.75
"192","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.4573,145.289417,"direct from dataset","1","Australia","NA",0,1,141.92
"193","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.466617,144.096633,"direct from dataset","1","Australia","NA",0,1,227.71
"194","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.466717,144.097,"direct from dataset","1","Australia","NA",0,1,184.22
"195","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.466667,144.097733,"direct from dataset","1","Australia","NA",0,1,119.82
"196","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.3179,145.195717,"direct from dataset","1","Australia","NA",0,1,181.27
"197","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.317533,145.1951,"direct from dataset","1","Australia","NA",0,1,236.78
"198","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.318383,145.19615,"direct from dataset","1","Australia","NA",0,1,178
"199","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.182733,147.306483,"direct from dataset","1","Australia","NA",0,1,460.91
"200","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.182267,147.306217,"direct from dataset","1","Australia","NA",0,1,193.76
"201","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.18255,147.306983,"direct from dataset","1","Australia","NA",0,1,353.71
"202","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.395033,142.467617,"direct from dataset","1","Australia","NA",0,1,139.97
"203","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.395467,142.46745,"direct from dataset","1","Australia","NA",0,1,176.81
"204","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.396133,142.468283,"direct from dataset","1","Australia","NA",0,1,129
"205","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.294967,144.386183,"direct from dataset","1","Australia","NA",0,1,88.21
"206","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.2867,144.400167,"direct from dataset","1","Australia","NA",0,1,207.61
"207","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.286833,144.399483,"direct from dataset","1","Australia","NA",0,1,154.02
"208","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.295767,144.38605,"direct from dataset","1","Australia","NA",0,1,86.4
"209","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.294467,144.386267,"direct from dataset","1","Australia","NA",0,1,76.69
"210","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.266633,144.634817,"direct from dataset","1","Australia","NA",0,1,105.24
"211","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.22775,145.31115,"direct from dataset","1","Australia","NA",0,1,152.92
"212","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.24955,145.248667,"direct from dataset","1","Australia","NA",0,1,188.94
"213","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.22755,145.3102,"direct from dataset","1","Australia","NA",0,1,243.36
"214","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.247567,145.249517,"direct from dataset","1","Australia","NA",0,1,152.77
"215","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.249317,145.248333,"direct from dataset","1","Australia","NA",0,1,169.08
"216","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.22735,145.31105,"direct from dataset","1","Australia","NA",0,1,156.04
"217","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.213267,145.376883,"direct from dataset","1","Australia","NA",0,1,107.57
"218","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.216783,145.380117,"direct from dataset","1","Australia","NA",0,1,121.86
"219","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.213067,145.377133,"direct from dataset","1","Australia","NA",0,1,171.84
"220","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.260683,145.494967,"direct from dataset","1","Australia","NA",0,1,170.37
"221","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.260933,145.49505,"direct from dataset","1","Australia","NA",0,1,153.64
"222","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.3541,141.60165,"direct from dataset","1","Australia","NA",0,1,60.25
"223","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.353517,141.6018,"direct from dataset","1","Australia","NA",0,1,72.44
"224","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.354367,141.60215,"direct from dataset","1","Australia","NA",0,1,88.45
"225","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.330133,142.064567,"direct from dataset","1","Australia","NA",0,1,217.37
"226","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.3304,142.06475,"direct from dataset","1","Australia","NA",0,1,239.75
"227","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.33005,142.064933,"direct from dataset","1","Australia","NA",0,1,196.41
"228","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.3652,142.250617,"direct from dataset","1","Australia","NA",0,1,124.28
"229","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.38045,142.239717,"direct from dataset","1","Australia","NA",0,1,132.2
"230","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.379983,142.240083,"direct from dataset","1","Australia","NA",0,1,110.64
"231","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.380533,142.240267,"direct from dataset","1","Australia","NA",0,1,77.97
"232","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.366083,142.251383,"direct from dataset","1","Australia","NA",0,1,171.65
"233","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.251317,144.438117,"direct from dataset","1","Australia","NA",0,1,77.85
"234","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.250933,144.437667,"direct from dataset","1","Australia","NA",0,1,55.87
"235","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.241233,144.4209,"direct from dataset","1","Australia","NA",0,1,80.15
"236","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.240783,144.421083,"direct from dataset","1","Australia","NA",0,1,105.39
"237","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.24035,144.421217,"direct from dataset","1","Australia","NA",0,1,94.28
"238","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.2476,144.499017,"direct from dataset","1","Australia","NA",0,1,110.42
"239","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.2468,144.498383,"direct from dataset","1","Australia","NA",0,1,122.96
"240","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.247217,144.498583,"direct from dataset","1","Australia","NA",0,1,116.58
"241","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.227717,144.651833,"direct from dataset","1","Australia","NA",0,1,126.19
"242","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.22675,144.65275,"direct from dataset","1","Australia","NA",0,1,154.19
"243","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.2275,144.652233,"direct from dataset","1","Australia","NA",0,1,191.64
"244","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.19715,144.698733,"direct from dataset","1","Australia","NA",0,1,105.24
"245","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.161167,144.7143,"direct from dataset","1","Australia","NA",0,1,78.56
"246","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.197133,144.697967,"direct from dataset","1","Australia","NA",0,1,196.69
"247","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.160283,144.715,"direct from dataset","1","Australia","NA",0,1,63.91
"248","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.161983,144.713817,"direct from dataset","1","Australia","NA",0,1,89.33
"249","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.196717,144.698,"direct from dataset","1","Australia","NA",0,1,230.33
"250","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.902533,147.71895,"direct from dataset","1","Australia","NA",0,1,314.84
"251","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.9022,147.718417,"direct from dataset","1","Australia","NA",0,1,465.39
"252","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.902817,147.719283,"direct from dataset","1","Australia","NA",0,1,367.43
"253","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.870617,147.939183,"direct from dataset","1","Australia","NA",0,1,169.79
"254","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.875833,148.0101,"direct from dataset","1","Australia","NA",0,1,41.44
"255","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.87555,148.010467,"direct from dataset","1","Australia","NA",0,1,59.92
"256","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.875817,148.010217,"direct from dataset","1","Australia","NA",0,1,24
"257","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.8718,147.938983,"direct from dataset","1","Australia","NA",0,1,206.75
"258","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.871183,147.938933,"direct from dataset","1","Australia","NA",0,1,228.66
"259","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.052767,144.411,"direct from dataset","1","Australia","NA",0,1,368.39
"260","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.055283,144.411283,"direct from dataset","1","Australia","NA",0,1,95.62
"261","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-38.056083,144.412,"direct from dataset","1","Australia","NA",0,1,56.5
"262","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.566917,149.760817,"direct from dataset","1","Australia","NA",0,1,24.83
"263","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.56755,149.760933,"direct from dataset","1","Australia","NA",0,1,39.4
"264","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.567167,149.760817,"direct from dataset","1","Australia","NA",0,1,25.55
"265","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.970633,144.684283,"direct from dataset","1","Australia","NA",0,1,73.15
"266","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.97075,144.6847,"direct from dataset","1","Australia","NA",0,1,108.82
"267","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.970867,144.68415,"direct from dataset","1","Australia","NA",0,1,86.75
"268","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.897267,144.7841,"direct from dataset","1","Australia","NA",0,1,145.42
"269","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.896517,144.7841,"direct from dataset","1","Australia","NA",0,1,148.63
"270","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.897183,144.783467,"direct from dataset","1","Australia","NA",0,1,95.84
"271","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.525967,149.69725,"direct from dataset","1","Australia","NA",0,1,162.01
"272","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.525917,149.69705,"direct from dataset","1","Australia","NA",0,1,128.1
"273","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.526,149.696567,"direct from dataset","1","Australia","NA",0,1,139.44
"274","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.8252,144.89635,"direct from dataset","1","Australia","NA",0,1,297.7
"275","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.825283,144.89565,"direct from dataset","1","Australia","NA",0,1,263.59
"276","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.8268,144.89565,"direct from dataset","1","Australia","NA",0,1,258.4
"277","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.8663,144.878983,"direct from dataset","1","Australia","NA",0,1,75.77
"278","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.866633,144.8785,"direct from dataset","1","Australia","NA",0,1,186.99
"279","Serrano et al 2019","OS VIC","This study","VIC","Tidal marsh",-37.866583,144.878917,"direct from dataset","1","Australia","NA",0,1,201.21
"280","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.61362,115.4252,"direct from dataset","1","Australia","NA",0,1,38.5
"281","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.61362,115.4252,"direct from dataset","1","Australia","NA",0,1,25.92
"282","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.61362,115.4252,"direct from dataset","1","Australia","NA",0,1,132.83
"283","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.61714,115.4171,"direct from dataset","1","Australia","NA",0,1,135.8
"284","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.61714,115.4171,"direct from dataset","1","Australia","NA",0,1,97.26
"285","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.61714,115.4171,"direct from dataset","1","Australia","NA",0,1,70.78
"286","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.62914,115.4079,"direct from dataset","1","Australia","NA",0,1,104.84
"287","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.62914,115.4079,"direct from dataset","1","Australia","NA",0,1,76.35
"288","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-33.62914,115.4079,"direct from dataset","1","Australia","NA",0,1,49.22
"289","Serrano et al 2019","OS WA","This study","WA","Tidal marsh",-23.95,113.633333,"direct from dataset","1","Australia","NA",0,1,101.59
"290","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-38.06,141.001783,"direct from dataset","1","Australia","NA",0,1,75.95
"291","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-38.060183,141.002317,"direct from dataset","1","Australia","NA",0,1,101.78
"292","Serrano et al 2019","OS SA","This study","SA","Tidal marsh",-38.05995,141.001317,"direct from dataset","1","Australia","NA",0,1,106.88
