"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","Nation","SOM_perc","SOM_perc_Heiri","N_perc","Original_source","Conv_factor","State","Location","Depth_to_bedrock_m","Season","Treatment","Replicate","n_cores","Core_type","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined"
"CCRCN",NA,NA,NA,"marsh",40.963056,-73.144167,"direct from dataset",1,"United States",NA,NA,0,0.03,"EA","Core-level",NA,0.71,"Flax_Pond",NA,8.6,NA,NA,"Cochran et al 1998",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,0.71
"CCRCN",NA,NA,NA,"marsh",40.873889,-73.818333,"direct from dataset",1,"United States",NA,NA,0,0.025,"EA","Core-level",NA,0.11,"Goose_Creek",NA,70.6,NA,NA,"Cochran et al 1998",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,0.11
"CCRCN",NA,NA,NA,"marsh",40.878056,-73.788056,"direct from dataset",1,"United States",NA,NA,0,0.023,"EA","Core-level",NA,0.23,"Hunter_Island",NA,44.6,NA,NA,"Cochran et al 1998",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,0.23
"CCRCN",NA,NA,NA,"marsh",41.048333,-72.290556,"direct from dataset",1,"United States",NA,NA,0,0.018,"EA","Core-level",NA,0.16,"Shelter_Island",NA,77.4,NA,NA,"Cochran et al 1998",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4,0.16
"CCRCN",NA,NA,NA,"marsh",31.341,-81.48,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",9.783,0.233,"Altamaha_River_Site_7_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.783,NA,0.233
"CCRCN",NA,NA,NA,"marsh",31.322,-81.417,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",11.323,0.345,"Altamaha_River_Site_8_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.323,NA,0.345
"CCRCN",NA,NA,NA,"marsh",31.332,-81.309,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",8.324,0.2807,"Altamaha_River_Site_9_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.324,NA,0.2807
"CCRCN",NA,NA,NA,"marsh",31.446,-81.374,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",3.754,0.4571,"Doboy_Sound_Site_4_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.754,NA,0.4571
"CCRCN",NA,NA,NA,"marsh",31.415,-81.343,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",5.564,0.3164,"Doboy_Sound_Site_5_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.564,NA,0.3164
"CCRCN",NA,NA,NA,"marsh",31.388798,-81.276774,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",9.044,0.2793,"Doboy_Sound_Site_6_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.044,NA,0.2793
"CCRCN",NA,NA,NA,"marsh",31.539,-81.42,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",8.111,0.2105,"Sapelo_River_Site_1_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.111,NA,0.2105
"CCRCN",NA,NA,NA,"marsh",31.55,-81.306,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",1.796,0.3491,"Sapelo_River_Site_2_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.796,NA,0.3491
"CCRCN",NA,NA,NA,"marsh",31.516,-81.232,"direct from dataset",1,"United States",2001,NA,0,0.02,"EA","Core-level",4.565,0.3254,"Sapelo_River_Site_3_Levee",NA,NA,NA,NA,"Craft 2007",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.565,NA,0.3254
"CCRCN",NA,NA,NA,"marsh",30.056711,-93.604326,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.09,"CRMS0658_1",NA,55.19,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.19,0.09
"CCRCN",NA,NA,NA,"marsh",30.06418,-93.666988,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.27,"CRMS0697_1",NA,23.31,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.31,0.27
"CCRCN",NA,NA,NA,"marsh",29.66477,-92.729306,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.63,"CRMS0581_1",NA,16.96,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.96,0.63
"CCRCN",NA,NA,NA,"marsh",29.795418,-92.854309,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.41,"CRMS0584_1",NA,12.14,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14,0.41
"CCRCN",NA,NA,NA,"marsh",29.79542,-92.91681,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.18,"CRMS0587_1",NA,23.36,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.36,0.18
"CCRCN",NA,NA,NA,"marsh",29.773641,-92.823057,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.06,"CRMS0588_1",NA,63.16,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.16,0.06
"CCRCN",NA,NA,NA,"marsh",29.664771,-92.823058,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.44,"CRMS0589_1",NA,16.92,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.92,0.44
"CCRCN",NA,NA,NA,"marsh",29.606705,-92.666806,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.5,"CRMS0599_1",NA,11.67,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.67,0.5
"CCRCN",NA,NA,NA,"marsh",29.672031,-92.666805,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.5,"CRMS0608_1",NA,16.16,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.16,0.5
"CCRCN",NA,NA,NA,"marsh",29.606704,-92.635555,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.55,"CRMS0610_1",NA,12.82,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.82,0.55
"CCRCN",NA,NA,NA,"marsh",29.737355,-92.885559,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.13,"CRMS0614_1",NA,36.23,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.23,0.13
"CCRCN",NA,NA,NA,"marsh",29.679287,-92.823058,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.44,"CRMS0615_1",NA,14.07,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.07,0.44
"CCRCN",NA,NA,NA,"marsh",29.809934,-92.979312,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.32,"CRMS0622_1",NA,18.48,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.48,0.32
"CCRCN",NA,NA,NA,"marsh",29.918808,-93.479321,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.07,"CRMS0635_1",NA,55.33,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.33,0.07
"CCRCN",NA,NA,NA,"marsh",29.868002,-93.510571,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.09,"CRMS0638_1",NA,53,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,0.09
"CCRCN",NA,NA,NA,"marsh",29.889774,-93.479321,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.23,"CRMS0639_1",NA,13.62,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.62,0.23
"CCRCN",NA,NA,NA,"marsh",29.897032,-93.510572,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.15,"CRMS0641_1",NA,40.89,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.89,0.15
"CCRCN",NA,NA,NA,"marsh",29.831711,-93.291817,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.39,"CRMS0644_1",NA,15.12,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.12,0.39
"CCRCN",NA,NA,NA,"marsh",29.846225,-93.198066,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.11,"CRMS0645_1",NA,62.06,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.06,0.11
"CCRCN",NA,NA,NA,"marsh",29.846228,-93.479321,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.15,"CRMS0647_1",NA,14.29,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29,0.15
"CCRCN",NA,NA,NA,"marsh",29.838967,-93.166816,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.18,"CRMS0648_1",NA,27.52,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.52,0.18
"CCRCN",NA,NA,NA,"marsh",29.918807,-93.135567,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.05,"CRMS0650_1",NA,67.09,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.09,0.05
"CCRCN",NA,NA,NA,"marsh",29.962356,-93.510572,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.04,"CRMS0651_1",NA,51.21,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.21,0.04
"CCRCN",NA,NA,NA,"marsh",29.795421,-93.416819,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.11,"CRMS0655_1",NA,14,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.11
"CCRCN",NA,NA,NA,"marsh",30.020421,-93.260568,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.25,"CRMS0656_1",NA,26.69,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.69,0.25
"CCRCN",NA,NA,NA,"marsh",29.846227,-93.635574,"direct from dataset",1,"United States",NA,NA,0,0.16,"EA","Core-level",NA,0.16,"CRMS0661_1",NA,44.05,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.05,0.16
"CCRCN",NA,NA,NA,"marsh",30.034938,-93.698079,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.13,"CRMS0662_1",NA,40.53,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.53,0.13
"CCRCN",NA,NA,NA,"marsh",30.013162,-93.698079,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.07,"CRMS0663_1",NA,42.78,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.78,0.07
"CCRCN",NA,NA,NA,"marsh",29.882515,-93.729327,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.08,"CRMS0669_1",NA,73.5,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,0.08
"CCRCN",NA,NA,NA,"marsh",29.831712,-93.41682,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.27,"CRMS0672_1",NA,19.25,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.25,0.27
"CCRCN",NA,NA,NA,"marsh",29.853486,-93.541822,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.05,"CRMS0677_1",NA,69.64,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.64,0.05
"CCRCN",NA,NA,NA,"marsh",29.773647,-93.510571,"direct from dataset",1,"United States",NA,NA,0,0.16,"EA","Core-level",NA,0.96,"CRMS0680_1",NA,9.73,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73,0.96
"CCRCN",NA,NA,NA,"marsh",29.824453,-93.573072,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.35,"CRMS0682_1",NA,13.36,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.36,0.35
"CCRCN",NA,NA,NA,"marsh",29.817194,-93.823078,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.25,"CRMS0684_1",NA,17.36,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.36,0.25
"CCRCN",NA,NA,NA,"marsh",29.889775,-93.385569,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.57,"CRMS0685_1",NA,11,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.57
"CCRCN",NA,NA,NA,"marsh",29.940583,-93.354319,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.24,"CRMS0687_1",NA,20.34,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.34,0.24
"CCRCN",NA,NA,NA,"marsh",29.875261,-93.573073,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.11,"CRMS1205_1",NA,44.22,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.22,0.11
"CCRCN",NA,NA,NA,"marsh",29.867997,-93.010565,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.13,"CRMS1409_1",NA,51.31,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.31,0.13
"CCRCN",NA,NA,NA,"marsh",29.853485,-93.229316,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.23,"CRMS1738_1",NA,17.32,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.32,0.23
"CCRCN",NA,NA,NA,"marsh",29.780903,-93.698074,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.17,"CRMS1838_1",NA,23.51,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.51,0.17
"CCRCN",NA,NA,NA,"marsh",29.83897,-93.510571,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.18,"CRMS1858_1",NA,15.26,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.26,0.18
"CCRCN",NA,NA,NA,"marsh",29.875257,-93.698076,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.05,"CRMS2156_1",NA,46.23,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.23,0.05
"CCRCN",NA,NA,NA,"marsh",29.984129,-93.698079,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.06,"CRMS2166_1",NA,59.03,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.03,0.06
"CCRCN",NA,NA,NA,"marsh",29.926064,-93.760579,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.16,"CRMS2189_1",NA,25.83,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.83,0.16
"CCRCN",NA,NA,NA,"marsh",29.766389,-93.604322,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.48,"CRMS2219_1",NA,16.44,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.44,0.48
"CCRCN",NA,NA,NA,"marsh",29.882516,-93.510571,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.21,"CRMS2334_1",NA,34.34,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.34,0.21
"CCRCN",NA,NA,NA,"marsh",29.875258,-93.166816,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.15,"CRMS2418_1",NA,28.91,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.91,0.15
"CCRCN",NA,NA,NA,"marsh",29.96036,-93.40959,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.43,"CRMS6301_1",NA,10.26,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.26,0.43
"CCRCN",NA,NA,NA,"marsh",29.497825,-91.854284,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.38,"CRMS0498_1",NA,17.39,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.39,0.38
"CCRCN",NA,NA,NA,"marsh",29.570406,-91.854284,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.25,"CRMS0499_1",NA,28.39,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.39,0.25
"CCRCN",NA,NA,NA,"marsh",29.534116,-91.885535,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.16,"CRMS0504_1",NA,27.23,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.23,0.16
"CCRCN",NA,NA,NA,"marsh",29.889762,-91.979286,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.42,"CRMS0511_1",NA,15.99,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.99,0.42
"CCRCN",NA,NA,NA,"marsh",29.853473,-91.823032,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.37,"CRMS0514_1",NA,18.86,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.86,0.37
"CCRCN",NA,NA,NA,"marsh",29.584921,-91.885535,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.23,"CRMS0520_1",NA,30.23,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.23,0.23
"CCRCN",NA,NA,NA,"marsh",29.497823,-91.823033,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.36,"CRMS0522_1",NA,16.18,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.18,0.36
"CCRCN",NA,NA,NA,"marsh",29.577665,-91.823033,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.26,"CRMS0523_1",NA,27.5,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,0.26
"CCRCN",NA,NA,NA,"marsh",29.548632,-91.823033,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.32,"CRMS0524_1",NA,47.09,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.09,0.32
"CCRCN",NA,NA,NA,"marsh",29.599438,-91.916786,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.09,"CRMS0529_1",NA,51.48,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.48,0.09
"CCRCN",NA,NA,NA,"marsh",29.82444,-91.948035,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.27,"CRMS0532_1",NA,23.77,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.77,0.27
"CCRCN",NA,NA,NA,"marsh",29.831698,-91.854284,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.33,"CRMS0549_1",NA,22.61,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.61,0.33
"CCRCN",NA,NA,NA,"marsh",29.563149,-90.07299,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.18,"CRMS0220_1",NA,38.42,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.42,0.18
"CCRCN",NA,NA,NA,"marsh",29.599439,-90.072988,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.29,"CRMS0248_1",NA,27.3,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3,0.29
"CCRCN",NA,NA,NA,"marsh",29.519599,-90.010487,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.12,"CRMS0251_1",NA,31.81,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.81,0.12
"CCRCN",NA,NA,NA,"marsh",29.555893,-90.072988,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.23,"CRMS0253_1",NA,26.49,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.49,0.23
"CCRCN",NA,NA,NA,"marsh",29.59944,-90.104238,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.38,"CRMS0261_1",NA,34.1,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,0.38
"CCRCN",NA,NA,NA,"marsh",29.497826,-90.104239,"direct from dataset",1,"United States",NA,NA,0,0.04,"EA","Core-level",NA,0.14,"CRMS3565_1",NA,32,NA,NA,"CRMS Database",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0.14
